result|query|candidate|gold|google
Right|chemistry department news|chemistry department news|chemistry department news|chemistry department news
Right|about developments changes|about developments changes|about developments changes|about developments changes
Right|importantfor us|important for us|important for us|important for us
Right|quesytions should file a without the text of the|questions should file a without the text of the|questions should file a without the text of the|questions should file a without the text of the
Wrong|teh made up dramas of|teh made up dramas of|the made up dramas of|the made up dramas of
Right|directory gallery alumni ms japan and japanese|directory gallery alumni ms japan and japanese|directory gallery alumni ms japan and japanese|directory gallery alumni ms japan and japanese
Right|support graduate students appling doctor|support graduate students applying doctor|support graduate students applying doctor|support graduate students applying doctor
Right|consider journal pricing in addition|consider journal pricing in addition|consider journal pricing in addition|consider journal pricing in addition
Right|resurection is the man who|resurrection is the man who|resurrection is the man who|resurrection is the man who
Right|on campus disruptions|on campus disruptions|on campus disruptions|on campus disruptions
Wrong|rpofessor emeritus terry|r professor emeritus terry|professor emeritus terry|professor emeritus terry
Right|center cerebrovascular neurosurgery epilepsy functional via palou david packard electrical|center cerebrovascular neurosurgery epilepsy functional via palou david packard electrical|center cerebrovascular neurosurgery epilepsy functional via palou david packard electrical|center cerebrovascular neurosurgery epilepsy functional via palou david packard electrical
Right|and auditorum the|and auditorium the|and auditorium the|and auditorium the
Right|all subscribers who receive|all subscribers who receive|all subscribers who receive|all subscribers who receive
Right|edit box set|edit box set|edit box set|edit box set
Right|stanford university webmaster cva|stanford university webmaster cva|stanford university webmaster cva|stanford university webmaster cva
Wrong|2009 art nx 620|2009 art nx 620|2009 art nx620|2009 art nx 620
Right|linear accelerator center|linear accelerator center|linear accelerator center|linear accelerator center
Right|page and signins|page and signing|page and signing|page and signings
Right|board for the|board for the|board for the|board for the
Wrong|thoes free swimming tadpole like|tho free swimming tadpole like|these free swimming tadpole like|does free swimming tadpole like
Right|if they have|if they have|if they have|if they have
Right|associate director of korean studies|associate director of korean studies|associate director of korean studies|associate director of korean studies
Right|upper right corner if format kif and|upper right corner if format kif and|upper right corner if format kif and|upper right corner of format kif and
Right|danyluk williams college john denero|danyluk williams college john denero|danyluk williams college john denero|danyluk williams college john denero
Right|at stanford welcome|at stanford welcome|at stanford welcome|at stanford welcome
Right|watson 98 trained civil|watson 98 trained civil|watson 98 trained civil|watson 98 trained civil
Right|terms call number series serchworks|terms call number series searchworks|terms call number series searchworks|terms call number series searchworks
Wrong|moedling for genome|medline for genome|modeling for genome|modeling for genome
Wrong|& art hostory||& art history|& art history
Right|to see more program|to see more program|to see more program|to see more program
Right|timing configuration the need to skip to main content home|timing configuration the need to skip to main content home|timing configuration the need to skip to main content home|timing configuration the need to skip to main content home
Right|school learing sgsi 12 12|school learning sgsi 12 12|school learning sgsi 12 12|school learning sgsi 12 12
Right|the posting if|the posting if|the posting if|the posting if
Right|choose the file you would|choose the file you would|choose the file you would|choose the file you would
Wrong|scholar publishing sustainability suse open coordinator juilie green|scholar publishing sustainability suse open coordinator julie green|scholarly publishing sustainability suse open coordinator julie green|scholar publishing sustainability suse open coordinator julie green
Wrong|standford university photo by fred|standford university photo by fred|stanford university photo by fred|stanford university photo by fred
Right|here without your permission|here without your permission|here without your permission|here without your permission
Right|of nand into solidstate|of nand into solid state|of nand into solid state|of nand into solid state
Right|drive suite 6 stanford califnornia|drive suite 6 stanford california|drive suite 6 stanford california|drive suite 6 stanford california
Right|petersen milind purohit|petersen milind purohit|petersen milind purohit|petersen milind purohit
Right|information center lane readingroom|information center lane reading room|information center lane reading room|information center lane reading room
Right|education action program|education action program|education action program|education action program
Right|left and you should|left and you should|left and you should|left and you should
Wrong|to storeup|to store|to store up|to store up
Wrong|pulpation obesity &||palpation obesity &|palpation obesity &
Wrong|is availble from many sources|is availble from many sources|is available from many sources|is available from many sources
Right|of energy last update|of energy last update|of energy last update|of energy last update
Right|involved in neurotransmision by using|involved in neurotransmission by using|involved in neurotransmission by using|involved in neurotransmission by using
Right|public lecures seminars and courses|public lectures seminars and courses|public lectures seminars and courses|public lectures seminars and courses
Wrong|isn t configured to accomodate that were installed|isn t configured to accomodate that were installed|isn t configured to accommodate that were installed|isn't configured to accommodate that were installed
Right|despite the cosmetic problems|despite the cosmetic problems|despite the cosmetic problems|despite the cosmetic problems
Right|does not provd such simulation policy the europecenter walter|does not provide such simulation policy the europe center walter|does not provide such simulation policy the europe center walter|does not provide such simulation policy the europe center walter
Wrong|systems usacycling clifbar &||systems usacycling clifbar &|systems usa cycling clif bar &
Wrong|cedical record date of birth|cervical record date of birth|medical record date of birth|medical record date of birth
Right|byhtmlme pl|by htmlme pl|by htmlme pl|html pl
Right|over 1300 stanford|over 1300 stanford|over 1300 stanford|over 1300 stanford
Right|id passwirds page for more|id passwords page for more|id passwords page for more|id passwords page for more
Right|peru by studying|peru by studying|peru by studying|peru by studying
Right|moovies read more photo robert|movies read more photo robert|movies read more photo robert|movies read more photo robert
Right|care overveiw community south on el camino|care overview community south on el camino|care overview community south on el camino|care overview community south on el camino
Right|no 2 june 2005|no 2 june 2005|no 2 june 2005|no 2 june 2005
Right|university department of history 450 please suggest a|university department of history 450 please suggest a|university department of history 450 please suggest a|university department of history 450 please suggest a
Right|ipsoforum uncatergorized ipsofacto is an|ipsoforum uncategorized ipsofacto is an|ipsoforum uncategorized ipsofacto is an|epsoforum uncategorized ipso facto is an
Right|care for about 135|care for about 135|care for about 135|care for about 135
Right|by slac to members|by slac to members|by slac to members|by slac to members
Right|1979 113114 if|1979 113 114 if|1979 113 114 if|1979 113114 if
Wrong|those operations that the complier|those operations that the complex|those operations that the compiler|those operations that the compiler
Right|archaeological prehistory and events events east|archaeological prehistory and events events east|archaeological prehistory and events events east|archaeological prehistory and events events east
Right|york deffer lp plaintiff|york defer lp plaintiff|york defer lp plaintiff|york defer lp plaintiff
Right|years qalys results|years qalys results|years qalys results|years qalys results
Wrong|on facebook conncet the cloud bio slides|on facebook concept the cloud bio slides|on facebook connect the cloud bio slides|on facebook connect the cloud bio slides
Right|transformations old buildings new|transformations old buildings new|transformations old buildings new|transformations old buildings new
Right|723 1450 650 564|723 1450 650 564|723 1450 650 564|723 1450 650 564
Right|navigational home education|navigation home education|navigation home education|navigational home education
Right|a 20 discount|a 20 discount|a 20 discount|a 20 discount
Right|environment 2011 stanford|environment 2011 stanford|environment 2011 stanford|environment 2011 stanford
Right|dsc_7433 dsc_7434 dsc_7435 dsc_7454 dsc_7461|dsc_7433 dsc_7434 dsc_7435 dsc_7454 dsc_7461|dsc_7433 dsc_7434 dsc_7435 dsc_7454 dsc_7461|dsc_7433 dsc_7434 dsc_7435 dsc_7454 dsc_7461
Right|column datatype null description|column datatype null description|column datatype null description|column datatype null description
Wrong|undergraduate educater at stanford for|undergraduate educated at stanford for|undergraduate education at stanford for|undergraduate education at stanford for
Right|gift stanford home search this|gift stanford home search this|gift stanford home search this|gift stanford home search this
Wrong|the low enegry|the low enegy|the low energy|the low energy
Right|sliders lecture topic|slides lecture topic|slides lecture topic|sliders lecture topic
Right|520 galvez mall parkinf|520 galvez mall parking|520 galvez mall parking|520 galvez mall parking
Right|outlin choices are switched|outline choices are switched|outline choices are switched|outline choices are switched
Wrong|fraternity ae phi sorority chabad|fraternity ae phi sorority chabad|fraternity aephi sorority chabad|fraternity ae phi sorority chabad
Right|ao recruiment talk|ao recruitment talk|ao recruitment talk|ao recruitment talk
Wrong|1 1 htlm etc in|1 1 htlv etc in|1 1 html etc in|1 1 html etc in
Wrong|& masculinities race &||& masculinities race &|& masculinities race &
Right|reserve material for current|reserve material for current|reserve material for current|reserve material for current
Right|atcc misc commesnts|atcc misc comments|atcc misc comments|atcc misc comments
Right|posting which takes you|posting which takes you|posting which takes you|posting which takes you
Right|resources stanford university student affairs|resources stanford university student affairs|resources stanford university student affairs|resources stanford university student affairs
Wrong|insitute for gender|insitute for gender|institute for gender|institute for gender
Right|estate maps and records|estate maps and records|estate maps and records|estate maps and records
Right|role of adding value in|role of adding value in|role of adding value in|role of adding value in
Wrong|yim and kuhan papa|yim and kuh paper|yim and khuan papa|yin and kuhan papa
Right|febuary 8 2012 5 30|february 8 2012 5 30|february 8 2012 5 30|february 8 2012 5 30
Wrong|slac stanford eud hypernews user|slac stanford eu hypernews user|slac stanford edu hypernews user|slac stanford edu hypernews user
Right|makes an application|makes an application|makes an application|makes an application
Right|center for opportunity policy in|center for opportunity policy in|center for opportunity policy in|center for opportunity policy in
Right|college of veterinary nutrition|college of veterinary nutrition|college of veterinary nutrition|college of veterinary nutrition
Right|developed the notion of a|developed the notion of a|developed the notion of a|developed the notion of a
Right|alternativecertification for students stanferd|alternative certification for students stanford|alternative certification for students stanford|alternative certification for students stanford
Right|vcimage generate on|vcimage generated on|vcimage generated on|vcimage generated on
Right|hp support website api doxygen documantation p04 06|hp support website api doxygen documentation p04 06|hp support website api doxygen documentation p04 06|hp support website api doxygen documentation p 04 06
Right|student research applications for|student research applications for|student research applications for|student research applications for
Right|lower roughness surfaces curved pins|lower roughness surfaces curved pins|lower roughness surfaces curved pins|lower roughness surfaces curved pins
Right|room students and faculty search|room students and faculty search|room students and faculty search|room students and faculty search
Wrong|jim pleased our|jim pleased our|am pleased our|jim pleased our
Right|to skin strain changes|to skin strain changes|to skin strain changes|to skin strain changes
